,code,road,desc,lat,lng,in_WD,in_H,out_WD,out_H,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
4497,82231,Guillemard Rd,Opp City Plaza,1.3142010130892,103.8936761363468,37.583333333333336,19.033333333333335,54.266666666666666,52.7,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
4498,83011,Sims Ave East,Casa Sarina,1.31971491091921,103.90725404505461,343.55555555555554,126.859375,525.047619047619,210.078125,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4499,83029,Changi Rd,Aft Kg Eunos,1.31774429797349,103.90635251996308,346.43333333333334,177.78688524590163,243.91666666666666,102.68852459016394,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4500,83031,Sims Ave East,Opp Hong San Si Tp,1.32027026937212,103.91000032422843,259.73015873015873,83.09375,374.6190476190476,135.296875,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4501,83049,Changi Rd,Bef Lor 110 Changi,1.318489754773,103.91002178191968,355.9,148.24590163934425,213.01666666666668,80.72131147540983,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4502,83059,Changi Rd,Mjd Kassim,1.31888900641724,103.91222670426201,751.75,320.08196721311475,532.5666666666667,206.29508196721312,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4503,83062,Sims Ave East,Kembangan Stn,1.32096859171096,103.9133277893385,3040.6349206349205,924.859375,2072.063492063492,716.984375,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4504,83063,Sims Ave East,The Buddhist Union,1.32120137837522,103.91485250081533,4.892857142857143,2.127272727272727,57.19642857142857,27.618181818181817,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4505,83079,Changi Rd,Bef Siglap Plain,1.31976833302337,103.91505416701378,160.93333333333334,59.88333333333333,157.8,58.61666666666667,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4506,83081,Sims Ave East,Opp Perpetual Succour Ch,1.32138694232025,103.91736615804473,484.031746031746,162.74603174603175,670.5079365079365,202.03174603174602,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4507,83099,Changi Rd,Aft Perpetual Succour Ch,1.32076378388187,103.91810427638708,465.65,116.98360655737704,487.3333333333333,132.9016393442623,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
