,name,stop_id,line,no,lng,lat,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
116,CHINATOWN MRT STATION,DT19,DT,32,103.8444512,1.284748969,4,CHINA SQUARE,OTSZ04,OUTRAM,OT,CENTRAL REGION,CR
117,NEWTON MRT STATION,DT11,DT,94,103.837811,1.313607102,3,NEWTON CIRCUS,NTSZ03,NEWTON,NT,CENTRAL REGION,CR
118,TAN KAH KEE MRT STATION,DT8,DT,142,103.8073222,1.325883209,6,CORONATION ROAD,BTSZ06,BUKIT TIMAH,BT,CENTRAL REGION,CR
119,TIONG BAHRU MRT STATION,EW17,EW,151,103.8270194,1.286193393,4,TIONG BAHRU STATION,BMSZ04,BUKIT MERAH,BM,CENTRAL REGION,CR
120,HILLVIEW MRT STATION,DT3,DT,61,103.7674183,1.362344869,7,NATURE RESERVE,BPSZ07,BUKIT PANJANG,BP,WEST REGION,WR
121,KING ALBERT PARK MRT STATION,DT6,DT,76,103.7838067,1.335665121,3,HOLLAND ROAD,BTSZ03,BUKIT TIMAH,BT,CENTRAL REGION,CR
122,MATTAR MRT STATION,DT25,DT,91,103.8832475,1.326876715,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
123,UBI MRT STATION,DT27,DT,157,103.8992525,1.329956826,3,KAMPONG UBI,GLSZ03,GEYLANG,GL,CENTRAL REGION,CR
124,BEAUTY WORLD MRT STATION,DT5,DT,7,103.7757943,1.341223176,1,ANAK BUKIT,BTSZ01,BUKIT TIMAH,BT,CENTRAL REGION,CR
125,KAKI BUKIT MRT STATION,DT28,DT,69,103.9084597,1.334967302,1,KAKI BUKIT,BDSZ01,BEDOK,BD,EAST REGION,ER
126,TAMPINES MRT STATION,DT32,DT,140,103.9430605,1.355077429,2,TAMPINES EAST,TMSZ02,TAMPINES,TM,EAST REGION,ER
127,BEDOK NORTH MRT STATION,DT29,DT,9,103.9179783,1.334742117,1,KAKI BUKIT,BDSZ01,BEDOK,BD,EAST REGION,ER
128,DHOBY GHAUT MRT STATION,NS24,NS,45,103.8461152,1.298701307,1,DHOBY GHAUT,MUSZ01,MUSEUM,MU,CENTRAL REGION,CR
129,SERANGOON MRT STATION,CC13,CC,129,103.8723681,1.350595256,6,SERANGOON CENTRAL,SGSZ06,SERANGOON,SG,NORTH-EAST REGION,NER
130,WOODLEIGH MRT STATION,NE11,NE,162,103.8708183,1.339190046,10,BIDADARI,TPSZ10,TOA PAYOH,TP,CENTRAL REGION,CR
131,NOVENA MRT STATION,NS20,NS,97,103.8438256,1.320440791,2,MOULMEIN,NVSZ02,NOVENA,NV,CENTRAL REGION,CR
132,SERANGOON MRT STATION,NE12,NE,129,103.8735748,1.349707875,6,SERANGOON CENTRAL,SGSZ06,SERANGOON,SG,NORTH-EAST REGION,NER
133,BEDOK RESERVOIR MRT STATION,DT30,DT,10,103.9322346,1.33660783,2,BEDOK RESERVOIR,BDSZ02,BEDOK,BD,EAST REGION,ER
134,MARINA SOUTH PIER MRT STATION,NS28,NS,88,103.8628598,1.271336711,1,STRAITS VIEW,SVSZ01,STRAITS VIEW,SV,CENTRAL REGION,CR
135,FARRER PARK MRT STATION,NE8,NE,53,103.8541771,1.31235984,1,FARRER PARK,RCSZ01,ROCHOR,RC,CENTRAL REGION,CR
136,PAYA LEBAR MRT STATION,CC9,CC,104,103.8921788,1.317430268,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
137,BARTLEY MRT STATION,CC12,CC,5,103.8797589,1.342828338,10,BIDADARI,TPSZ10,TOA PAYOH,TP,CENTRAL REGION,CR
138,DAKOTA MRT STATION,CC8,CC,43,103.8886626,1.308382639,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
139,PASIR PANJANG MRT STATION,CC26,CC,102,103.7913503,1.276213523,15,PORT,QTSZ15,QUEENSTOWN,QT,CENTRAL REGION,CR
140,OUTRAM PARK MRT STATION,NE3,NE,101,103.8395747,1.279764543,5,SINGAPORE GENERAL HOSPITAL,BMSZ05,BUKIT MERAH,BM,CENTRAL REGION,CR
141,CLARKE QUAY MRT STATION,NE5,NE,37,103.8465552,1.288386024,2,CLARKE QUAY,SRSZ02,SINGAPORE RIVER,SR,CENTRAL REGION,CR
142,BISHAN MRT STATION,NS17,NS,13,103.848144,1.350838988,3,BISHAN EAST,BSSZ03,BISHAN,BS,CENTRAL REGION,CR
143,BOTANIC GARDENS MRT STATION,DT9,DT,16,103.8161317,1.322423979,4,TYERSALL,TNSZ04,TANGLIN,TN,CENTRAL REGION,CR
144,MARYMOUNT MRT STATION,CC16,CC,90,103.8394231,1.348707263,1,UPPER THOMSON,BSSZ01,BISHAN,BS,CENTRAL REGION,CR
145,HAW PAR VILLA MRT STATION,CC25,CC,60,103.7818105,1.282542157,13,PASIR PANJANG 1,QTSZ13,QUEENSTOWN,QT,CENTRAL REGION,CR
146,LORONG CHUAN MRT STATION,CC14,CC,85,103.8641519,1.351612171,5,LORONG CHUAN,SGSZ05,SERANGOON,SG,NORTH-EAST REGION,NER
147,LAVENDER MRT STATION,EW11,EW,82,103.8628292,1.30735702,6,LAVENDER,KLSZ06,KALLANG,KL,CENTRAL REGION,CR
148,DHOBY GHAUT MRT STATION,NE6,NE,45,103.8454882,1.299705459,1,DHOBY GHAUT,MUSZ01,MUSEUM,MU,CENTRAL REGION,CR
149,DHOBY GHAUT MRT STATION,CC1,CC,45,103.8462391,1.298842816,1,DHOBY GHAUT,MUSZ01,MUSEUM,MU,CENTRAL REGION,CR
150,TAI SENG MRT STATION,CC11,CC,138,103.8881949,1.335433322,12,JOO SENG,TPSZ12,TOA PAYOH,TP,CENTRAL REGION,CR
151,ROCHOR MRT STATION,DT13,DT,120,103.8524217,1.303916484,9,BENCOOLEN,RCSZ09,ROCHOR,RC,CENTRAL REGION,CR
152,LITTLE INDIA MRT STATION,DT12,DT,84,103.8485846,1.307198223,7,KAMPONG JAVA,KLSZ07,KALLANG,KL,CENTRAL REGION,CR
153,LITTLE INDIA MRT STATION,NE7,NE,84,103.849647,1.306800025,1,FARRER PARK,RCSZ01,ROCHOR,RC,CENTRAL REGION,CR
154,STEVENS MRT STATION,DT10,DT,136,103.8260244,1.320065557,1,NASSIM,TNSZ01,TANGLIN,TN,CENTRAL REGION,CR
155,BUKIT PANJANG MRT STATION,DT1,DT,25,103.7615351,1.379002117,1,GOMBAK,BKSZ01,BUKIT BATOK,BK,WEST REGION,WR
156,CASHEW MRT STATION,DT2,DT,29,103.7646944,1.369369831,6,DAIRY FARM,BPSZ06,BUKIT PANJANG,BP,WEST REGION,WR
157,SIXTH AVENUE MRT STATION,DT7,DT,131,103.7972463,1.330786387,6,CORONATION ROAD,BTSZ06,BUKIT TIMAH,BT,CENTRAL REGION,CR
158,TOA PAYOH MRT STATION,NS19,NS,152,103.8475018,1.332628987,2,TOA PAYOH CENTRAL,TPSZ02,TOA PAYOH,TP,CENTRAL REGION,CR
159,WOODLANDS SOUTH MRT STATION,TE3,TE,161,103.7938509,1.427259979,4,WOODLANDS SOUTH,WDSZ04,WOODLANDS,WD,NORTH REGION,NR
160,POTONG PASIR MRT STATION,NE10,NE,109,103.8690557,1.331379525,9,POTONG PASIR,TPSZ09,TOA PAYOH,TP,CENTRAL REGION,CR
