,stop_id,road,desc,lat,lng,in_WD,in_H,out_WD,out_H,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
4357,78139,Pasir Ris Dr 3,Opp Pasir Ris Pr Sch,1.373218045,103.9639886,139.7894737,31.96491228,490.9649123,96.89473684,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
4358,78141,Pasir Ris Dr 3,Greenview Sec Sch,1.370058899,103.9636652,332.95,96.16666667,171.8833333,34.38333333,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4359,78149,Pasir Ris Dr 3,Opp Greenview Sec Sch,1.369701053,103.9641189,185.9122807,40.01818182,129.2631579,37.18181818,LOYANG WEST,PRSZ06,PASIR RIS,PR,EAST REGION,ER
4360,78151,Pasir Ris Dr 4,Blk 230,1.372394963,103.9607802,346.7166667,60.85,242.6333333,77.88333333,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4361,78159,Pasir Ris Dr 4,Opp Blk 230,1.372464739,103.9605378,416.0952381,123.1587302,487.8253968,113.6507937,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4362,78161,Pasir Ris Dr 4,Blk 216,1.369004997,103.9605218,202.75,57.3,351.8,105.25,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4363,78169,Pasir Ris Dr 4,Opp Blk 216,1.36906973,103.960248,500.7460317,155.952381,520.0952381,148.8095238,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4364,78171,Pasir Ris St 11,Blk 108,1.367800025,103.9567381,233.4603175,59.19354839,500.4444444,142.8387097,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4365,78179,Pasir Ris St 11,Opp Blk 108,1.36767,103.95648,238.7936508,75.83606557,179.7142857,48.80327869,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4366,78181,Pasir Ris St 11,Bef Blk 187,1.36476142,103.959058,274.6190476,108.1639344,617.9047619,215.1147541,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4367,78189,Pasir Ris St 11,Opp Opp Blk 187,1.3646,103.95896,420.5714286,157.6507937,186.7936508,71.15873016,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4368,78191,Pasir Ris St 11,Aft Blk 182,1.36488943,103.9617691,147.2622951,22.28813559,245.7213115,29.05084746,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4369,78199,Pasir Ris St 11,Opp White Sands Pri Sch,1.36477,103.96189,149.5238095,23.56451613,78.52380952,28.03225806,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4370,78201,Pasir Ris St 21,Opp Blk 242,1.371346892,103.9620566,345.1269841,111.4333333,431.2857143,129.5833333,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4371,78209,Pasir Ris St 21,Blk 242,1.371365031,103.9622142,442.6984127,124.4126984,418.3333333,139.6031746,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4372,78211,Pasir Ris St 21,Blk 204,1.367902559,103.9624368,277.7540984,108.6333333,352.147541,123.9333333,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4373,78219,Pasir Ris St 21,Opp Blk 204,1.367256945,103.9632782,221.968254,71.77777778,355.1111111,148.0634921,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4374,78221,Pasir Ris Dr 4,Blk 231A CP,1.374175177,103.9612256,608.3492063,190.5714286,708.015873,232.6031746,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4375,78229,Pasir Ris Dr 4,Blk 485,1.374111399,103.9609385,517.3809524,167.7301587,517.0634921,147.3968254,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4376,78231,Pasir Ris St 41,Opp Blk 482,1.373443032,103.9598604,204.984127,29.38333333,250.4444444,48.7,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4377,78241,Pasir Ris St 41,Bet Blks 453/454,1.372110009,103.9576532,304.3333333,100.2833333,119.4666667,34.91666667,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
4378,78251,Jln Loyang Besar,Lighthouse,1.378240905,103.9595522,39.24561404,19.50877193,312.3684211,101.877193,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
4379,78259,Jln Loyang Besar,Opp Lighthouse,1.378021153,103.9593658,260.9322034,95.81481481,8.86440678,2.111111111,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
4380,78261,Jln Loyang Besar,Opp Ripple Bay,1.378658311,103.9606174,109.2241379,58.47368421,347.9827586,130.0526316,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
4381,78269,Jln Loyang Besar,Ripple Bay,1.378618754,103.9609618,264.3833333,89.26785714,17.1,5.642857143,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
4382,78271,Jln Loyang Besar,Casa Pasir Ris,1.379222548,103.9638335,83.71666667,26.63793103,169.4166667,51.60344828,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
4383,78279,Jln Loyang Besar,Opp Loyang Townhse,1.379235677,103.9642668,93.62295082,37.28571429,41.09836066,14.35714286,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
4384,80009,Lor 1 Geylang,Lor 1 Geylang Ter,1.311164222,103.8721634,198.34375,93.19672131,165.984375,92.01639344,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
4385,80011,Kallang Rd,AFT PADANG JERINGAU,1.309727208,103.8673783,567.968254,235.9661017,549.5714286,253.6440678,KALLANG BAHRU,KLSZ08,KALLANG,KL,CENTRAL REGION,CR
4386,80029,Kallang Rd,Bef Kg Bugis,1.30941874,103.867535,245.2166667,120.6666667,292.0666667,121.3833333,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
4387,80031,Sims Ave,Kallang Stn,1.311077057,103.8713149,1982.492063,930.5666667,1669.206349,773.9333333,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
4388,80039,Geylang Rd,Opp Lor 1 Geylang Ter,1.309923362,103.8714434,147.1666667,103.8333333,138.9333333,92.28333333,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
4389,80049,Geylang Rd,Aft Sims Way,1.310777078,103.8736366,1661.344262,694.6833333,1718.819672,745.3333333,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
4390,80051,Sims Ave,Aft Lor 1 Geylang,1.312515,103.8732619,2044.460317,820.8666667,1877.349206,758.5,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
4391,80069,Geylang Rd,Opp Mohd Salleh Mque,1.312147033,103.8771502,2380.55,1283.583333,1636.566667,837,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4392,80071,Sims Ave,Yi Xiu Fty Bldg,1.313800092,103.8765539,1397.31746,615.6031746,2102.031746,1013.809524,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4393,80089,Geylang Rd,Bef Lor 18 Geylang,1.312744836,103.8808052,1534.366667,862.5666667,1921.816667,992.7,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
